0.46875,0.501793,2.59491
0.5,0.501953,2.6681
0.53125,0.501793,2.74119
0.5625,0.501315,2.814
0.59375,0.500523,2.88633
0.625,0.499426,2.958
0.65625,0.498033,3.02883
0.6875,0.496357,3.09862
0.71875,0.494416,3.16722
0.75,0.492228,3.23446
0.78125,0.489814,3.30018
0.8125,0.487197,3.36424
0.84375,0.484402,3.42651
0.875,0.481456,3.48685
0.90625,0.478388,3.54516
0.9375,0.475228,3.60135
0.96875,0.472004,3.65532
1,0.46875,3.70699
0,0.4375,1.54883
0.03125,0.440946,1.6035
0.0625,0.444359,1.65999
0.09375,0.447705,1.71826
0.125,0.450954,1.77823
0.15625,0.454073,1.83984
0.1875,0.457032,1.90298
0.21875,0.459803,1.96757
0.25,0.462359,2.03348
0.28125,0.464676,2.10059
0.3125,0.466731,2.16876
0.34375,0.468505,2.23784
0.375,0.46998,2.30767
0.40625,0.471142,2.37809
0.4375,0.471981,2.44891
0.46875,0.472487,2.51997
0.5,0.472656,2.59107
0.53125,0.472487,2.66203
0.5625,0.471981,2.73265
0.59375,0.471142,2.80277
0.625,0.46998,2.87217
0.65625,0.468505,2.9407
0.6875,0.466731,3.00817
0.71875,0.464676,3.07442
0.75,0.462359,3.13928
0.78125,0.459803,3.20261
0.8125,0.457032,3.26428
0.84375,0.454073,3.32414
0.875,0.450954,3.3821
0.90625,0.447705,3.43804
0.9375,0.444359,3.49188
0.96875,0.440946,3.54353
1,0.4375,3.59294
0,0.40625,1.50118
0.03125,0.409887,1.55446
0.0625,0.41349,1.60953
0.09375,0.417022,1.66634
0.125,0.420451,1.72481
0.15625,0.423743,1.78487
0.1875,0.426867,1.84644
0.21875,0.429792,1.9094
0.25,0.43249,1.97364
0.28125,0.434936,2.03904
0.3125,0.437105,2.10545
0.34375,0.438978,2.17273
0.375,0.440535,2.24071
0.40625,0.441761,2.30923
0.4375,0.442646,2.37812
0.46875,0.443181,2.44719
0.5,0.443359,2.51626
0.53125,0.443181,2.58514
0.5625,0.442646,2.65366
0.59375,0.441761,2.72162
0.625,0.440535,2.78883
0.65625,0.438978,2.85514
0.6875,0.437105,2.92036
0.71875,0.434936,2.98433
0.75,0.43249,3.0469
0.78125,0.429792,3.10793
0.8125,0.426867,3.16728
0.84375,0.423743,3.22484
0.875,0.420451,3.28049
0.90625,0.417022,3.33415
0.9375,0.41349,3.38573
0.96875,0.409887,3.43517
1,0.40625,3.4824
0,0.375,1.45499
0.03125,0.378829,1.50692
0.0625,0.382621,1.56061
0.09375,0.386339,1.61598
0.125,0.389949,1.67299
0.15625,0.393414,1.73155
0.1875,0.396702,1.79157
0.21875,0.399781,1.85295
0.25,0.402621,1.91556
0.28125,0.405196,1.97929
0.3125,0.407479,2.04399
0.34375,0.40945,2.10951
0.375,0.411089,2.17569
0.40625,0.41238,2.24237
0.4375,0.413312,2.30937
0.46875,0.413874,2.37651
0.5,0.414062,2.44361
0.53125,0.413874,2.51048
0.5625,0.413312,2.57695
0.59375,0.41238,2.64282
0.625,0.411089,2.70791
0.65625,0.40945,2.77207
0.6875,0.407479,2.83511
0.71875,0.405196,2.89688
0.75,0.402621,2.95724
0.78125,0.399781,3.01604
0.8125,0.396702,3.07317
0.84375,0.393414,3.1285
0.875,0.389949,3.18194
0.90625,0.386339,3.2334
0.9375,0.382621,3.28282
0.96875,0.378829,3.33012
1,0.375,3.37526
0,0.34375,1.41023
0.03125,0.34777,1.46084
0.0625,0.351752,1.51317
0.09375,0.355656,1.56715
0.125,0.359446,1.62273
0.15625,0.363085,1.67982
0.1875,0.366537,1.73834
0.21875,0.36977,1.79816
0.25,0.372752,1.85919
0.28125,0.375456,1.92129
0.3125,0.377853,1.98432
0.34375,0.379923,2.04813
0.375,0.381643,2.11256
0.40625,0.383,2.17745
0.4375,0.383978,2.24261
